{s-}	s,U+0304	s̄	LATIN SMALL LETTER S + COMBINING MACRON
{s .}	U+1E63	ṣ	LATIN SMALL LETTER S WITH DOT BELOW
{#s}	U+222B	∫	INTEGRAL
{ru}	U+0159	ř	LATIN SMALL LETTER R WITH CARON
{Ribi1}	=	???	unknown
{Ribi}	=	???	unknown
{Rak1}	=	???	unknown
{Rak}	=	???	unknown
{PSI}	U+03A8	Ψ	GREEK CAPITAL LETTER PSI
{pomladna točka}	=	???	unknown
{podmnozica}	=	???	unknown
{Pluton}	=	???	unknown
{pluton}	U+2647	♇	PLUTO
{paragraf}	U+00A7	§	SECTION SIGN
{padni vozel}	=	???	unknown
{Oven1}	=	???	unknown
{Oven}	=	???	unknown
{opozicija}	=	???	unknown
{O\}	U+00D2	Ò	LATIN CAPITAL LETTER O WITH GRAVE
{O//}	U+0150	Ő	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
{o^.}	U+1ED9	ộ	LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
{o\\}	o,U+030F	ȍ	LATIN SMALL LETTER O + COMBINING DOUBLE GRAVE ACCENT
{o: }	U+00F6	ö	LATIN SMALL LETTER O WITH DIAERESIS
{o/.}	=	???	unknown
{nielement}	=	???	unknown
{Neptun}	=	???	unknown
{neptun}	U+2646	♆	NEPTUNE
{nad}	=	???	unknown
{n ,}	U+0146	ņ	LATIN SMALL LETTER N WITH CEDILLA
{Merkur}	=	???	unknown
{Mars}	=	???	unknown
{m .}	U+1E43	ṃ	LATIN SMALL LETTER M WITH DOT BELOW
{Luna}	=	???	unknown
{Lev1}	=	???	unknown
{Lev}	=	???	unknown
{l/}	U+013A	ĺ	LATIN SMALL LETTER L WITH ACUTE
{l'}	U+013E	ľ	LATIN SMALL LETTER L WITH CARON
{kvadratura}	=	???	unknown
{kvadratek}	U+25AB	▫	WHITE SMALL SQUARE
{KROGEC}	U+2022	•	BULLET
{krogec}	U+25E6	◦	WHITE BULLET
{Kozorog1}	=	???	unknown
{Kozorog}	=	???	unknown
{konjunkcija}	=	???	unknown
{k/}	U+1E31	ḱ	LATIN SMALL LETTER K WITH ACUTE
{Jv}	J	J	LATIN CAPITAL LETTER J
{Jupiter}	=	???	unknown
{integral}	U+222B	∫	INTEGRAL
{-hv->}	=	???	unknown
{hi307}	=	???	unknown
{hi}	U+03C7	χ	GREEK SMALL LETTER CHI
{h .}	U+1E25	ḥ	LATIN SMALL LETTER H WITH DOT BELOW
{Gu}	U+011E	Ğ	LATIN CAPITAL LETTER G WITH BREVE
{gu}	U+011F	ğ	LATIN SMALL LETTER G WITH BREVE
{evro}	U+20AC	€	EURO SIGN
